folder,animal,treatment,antibody,image,profile_id,density,area_um2,n_particles,dist_to_symmetric_nm,dist_to_asymmetric_nm,closer_terminal,distance_diff_nm,n_symmetric_terminals,n_asymmetric_terminals
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv37.tif,579,24.522900833557912,0.040778210000000016,1,1181.2996232963083,,symmetric,,1,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv37.tif,580,26.265782534160774,0.2284340850000001,6,150.3920917280087,,symmetric,,1,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv66.tif,597,23.17962307151332,0.17256535999999992,4,,,none,,0,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv66.tif,596,0.0,0.17240201000000002,0,,,none,,0,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv56.tif,588,11.748523088054544,1.9576928800000006,23,0.0,,symmetric,,1,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv20.tif,569,34.23768175287344,0.087622755,3,,,none,,0,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv21.tif,570,0.0,0.033499455000000004,0,,364.00693674709004,asymmetric,,0,1
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv7.tif,598,23.260124309893747,1.8486573600000002,43,,,none,,0,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv6.tif,590,42.37126774674205,0.18880719000000004,8,,,none,,0,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv6.tif,591,21.223504084812024,1.6491150500000007,35,,,none,,0,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv63.tif,595,8.232684647179243,0.36440118000000005,3,,,none,,0,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv62.tif,594,83.46349774931407,0.10783156999999997,9,,,none,,0,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv51.tif,586,17.869495145662295,0.44769032000000003,8,25.693530784353218,14.077924134016538,asymmetric,-11.61560665033668,1,2
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv26.tif,573,19.331172366011774,0.10345984000000003,2,,,none,,0,0
J2 iba gaba GA2 hippo,GA2,Control,GABA,Tv47.tif,584,15.669871902401262,0.31908365500000013,5,372.71175189414146,,symmetric,,2,0
