folder,animal,treatment,antibody,compartment,image,image_normalized,profile_id,centroid_x,centroid_y,area_nm2,area_um2,n_particles,density
E2 iba glut GA2 hippo,GA2,Control,GLUT,microglia,Tv27.tif,Tv27.tif,20,751.6609743787692,1503.0970141788448,445125.12000000017,0.44512512000000015,17,38.19150894022785
E2 iba glut GA2 hippo,GA2,Control,GLUT,microglia,Tv26.tif,Tv26.tif,19,1547.3005915919016,1294.9357053727956,117333.70000000007,0.11733370000000007,3,25.56810191786331
E2 iba glut GA2 hippo,GA2,Control,GLUT,microglia,Tv12.tif,Tv12.tif,8,1495.3669251867964,979.3568350200192,345419.91000000015,0.34541991000000016,11,31.845298089505018
E2 iba glut GA2 hippo,GA2,Control,GLUT,microglia,Tv34.tif,Tv34.tif,23,1638.1827310776032,1020.4782507409161,86827.18000000002,0.08682718000000002,4,46.06852370421335
E2 iba glut GA2 hippo,GA2,Control,GLUT,microglia,Tv64.tif,Tv64.tif,42,706.1411491856285,1176.538866225486,93432.57000000002,0.09343257000000002,5,53.514529248205406
E2 iba glut GA2 hippo,GA2,Control,GLUT,microglia,Tv16.tif,Tv16.tif,12,1333.7479894377755,1280.6800711779986,79274.96500000001,0.07927496500000002,2,25.22864563863257
E2 iba glut GA2 hippo,GA2,Control,GLUT,microglia,Tv4.tif,Tv4.tif,27,1083.1832603377131,329.25227952989485,332769.96500000014,0.33276996500000017,9,27.045710089851394
E2 iba glut GA2 hippo,GA2,Control,GLUT,microglia,Tv47.tif,Tv47.tif,31,1673.6294745246278,848.736135183403,1518569.36,1.51856936,63,41.48641587237082
E2 iba glut GA2 hippo,GA2,Control,GLUT,microglia,Tv54.tif,Tv54.tif,38,2042.9394343330773,2008.3369947876615,103844.62000000008,0.10384462000000008,5,48.14885932463324
E2 iba glut GA2 hippo,GA2,Control,GLUT,microglia,Tv16.tif,Tv16.tif,11,786.5797534478163,766.9069188919334,177739.92500000002,0.17773992500000002,8,45.00958352491709
